MSA,MSA_cities,MSA_states,Total_Eligible_Households_30,Total_Eligible_Households_30_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Total_Annual_Cost_of_Vouchers_if_Only_Eligible_HH_Participate_30,Actual_Number_of_Vouchers_Available_2020_30,Actual_Number_of_Vouchers_Available_2020_30_NUMERIC,Estimated_Monthly_Expenditure_30,Estimated_Annual_Expenditure_30,Households_Served_Expected_to_Use_Voucher_30,Households_Served_Expected_to_Use_Voucher_30_NUMERIC,Annual_Cost_of_Vouchers_30,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_30,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_30,Annual_Administrative_Cost_30,Total_Eligible_Households_50,Total_Eligible_Households_50_NUMERIC,Total_Monthly_Cost_of_Vouchers_if_Only_Renters_Participate_50,Total_Annual_Cost_of_Vouchers_if_Only_Renters_Participate_50,Actual_Number_of_Vouchers_Available_2020_50,Actual_Number_of_Vouchers_Available_2020_50_NUMERIC,Estimated_Monthly_Expenditure_50,Estimated_Annual_Expenditure_50,Households_Served_Expected_to_Use_Voucher_50,Households_Served_Expected_to_Use_Voucher_50_NUMERIC,Annual_Cost_of_Vouchers_50,Annual_Cost_of_Vouchers_Based_on_HUD_Average_Expenditure_50,HUD_Avg_Monthly_Expenditure_per_HH_by_MSA_50,Annual_Administrative_Cost_50,Voucher_Gap_30,Voucher_Gap_50
"Stockton-Lodi, CA",Stockton-Lodi,CA,"21,060",21060,"$15,557,077 ","$186,684,924 ","5,158",5158,"$4,198,612 ","$50,383,344 ","7,589",7589,"$62,457,272 ","$74,131,432 ",$814 ,"$6,479,747 ","34,353",34353,"$22,513,824 ","$270,165,888 ","5,158",5158,"$4,198,612 ","$50,383,344 ","12,577",12577,"$93,011,752 ","$122,847,848 ",$814 ,"$10,737,994 ",15902,29195
"Syracuse, NY",Syracuse,NY,"26,171",26171,"$13,931,806 ","$167,181,672 ","7,912",7912,"$4,612,696 ","$55,352,352 ","13,816",13816,"$79,838,632 ","$96,659,528 ",$583 ,"$11,796,579 ","40,852",40852,"$19,329,402 ","$231,952,824 ","7,912",7912,"$4,612,696 ","$55,352,352 ","21,743",21743,"$112,675,256 ","$152,116,304 ",$583 ,"$18,564,670 ",18259,32940
"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,FL,"80,929",80929,"$57,266,808 ","$687,201,696 ","21,651",21651,"$17,927,028 ","$215,124,336 ","17,088",17088,"$131,772,064 ","$169,783,152 ",$828 ,"$14,589,630 ","135,677",135677,"$83,184,408 ","$998,212,896 ","21,651",21651,"$17,927,028 ","$215,124,336 ","28,953",28953,"$197,307,664 ","$287,673,888 ",$828 ,"$24,720,094 ",59278,114026
"Toledo, OH",Toledo,OH,"27,016",27016,"$12,566,553 ","$150,798,636 ","5,159",5159,"$2,894,199 ","$34,730,388 ","9,803",9803,"$49,088,420 ","$65,996,092 ",$561 ,"$8,370,191 ","42,833",42833,"$17,489,086 ","$209,869,032 ","5,159",5159,"$2,894,199 ","$34,730,388 ","15,805",15805,"$70,383,424 ","$106,395,928 ",$561 ,"$13,494,044 ",21857,37674
"Topeka, KS",Topeka,KS,"6,893",6893,"$2,756,057 ","$33,072,684 ","1,467",1467,"$601,470 ","$7,217,640 ","2,593",2593,"$11,492,392 ","$12,755,587 ",$410 ,"$2,213,587 ","13,002",13002,"$5,008,063 ","$60,096,756 ","1,467",1467,"$601,470 ","$7,217,640 ","5,037",5037,"$22,841,140 ","$24,782,482 ",$410 ,"$4,300,718 ",5426,11535
"Trenton, NJ",Trenton,NJ,"15,255",15255,"$10,526,277 ","$126,315,324 ","2,401",2401,"$2,175,306 ","$26,103,672 ","5,841",5841,"$43,509,292 ","$63,506,144 ",$906 ,"$4,987,324 ","23,115",23115,"$14,511,243 ","$174,134,916 ","2,401",2401,"$2,175,306 ","$26,103,672 ","8,708",8708,"$60,298,732 ","$94,674,720 ",$906 ,"$7,435,084 ",12854,20714
"Tucson, AZ",Tucson,AZ,"35,199",35199,"$20,117,012 ","$241,404,144 ","5,719",5719,"$3,705,912 ","$44,470,944 ","13,867",13867,"$88,678,120 ","$107,832,024 ",$648 ,"$11,840,028 ","54,702",54702,"$27,236,688 ","$326,840,256 ","5,719",5719,"$3,705,912 ","$44,470,944 ","21,664",21664,"$121,414,856 ","$168,461,456 ",$648 ,"$18,497,180 ",29480,48983
"Tuscaloosa, AL",Tuscaloosa,AL,"7,685",7685,"$4,248,256 ","$50,979,072 ","2,463",2463,"$1,366,965 ","$16,403,580 ","2,795",2795,"$16,472,185 ","$18,616,288 ",$555 ,"$2,386,603 ","9,492",9492,"$4,893,846 ","$58,726,152 ","2,463",2463,"$1,366,965 ","$16,403,580 ","3,601",3601,"$19,256,060 ","$23,985,506 ",$555 ,"$3,074,935 ",5222,7029
"Tyler, TX",Tyler,TX,"5,497",5497,"$3,289,055 ","$39,468,660 ","1,106",1106,"$706,734 ","$8,480,808 ","2,131",2131,"$13,207,297 ","$16,337,038 ",$639 ,"$1,819,083 ","8,862",8862,"$4,470,089 ","$53,641,068 ","1,106",1106,"$706,734 ","$8,480,808 ","3,373",3373,"$18,077,972 ","$25,861,224 ",$639 ,"$2,879,574 ",4391,7756
"Urban Honolulu, HI",Urban Honolulu,HI,"31,180",31180,"$29,153,108 ","$349,837,296 ","8,954",8954,"$11,729,740 ","$140,756,880 ","12,558",12558,"$121,146,800 ","$197,417,184 ","$1,310 ","$10,722,440 ","56,450",56450,"$52,845,440 ","$634,145,280 ","8,954",8954,"$11,729,740 ","$140,756,880 ","21,682",21682,"$213,877,744 ","$340,844,224 ","$1,310 ","$18,512,480 ",22226,47496
"Utica-Rome, NY",Utica-Rome,NY,"9,881",9881,"$4,625,759 ","$55,509,108 ","3,687",3687,"$1,906,179 ","$22,874,148 ","3,567",3567,"$18,289,132 ","$22,128,618 ",$517 ,"$3,045,396 ","15,848",15848,"$6,590,087 ","$79,081,044 ","3,687",3687,"$1,906,179 ","$22,874,148 ","6,170",6170,"$27,729,582 ","$38,276,032 ",$517 ,"$5,267,643 ",6194,12161
"Vallejo-Fairfield, CA",Vallejo-Fairfield,CA,"9,231",9231,"$8,431,384 ","$101,176,608 ","5,437",5437,"$5,214,083 ","$62,568,996 ","3,517",3517,"$35,711,248 ","$40,470,688 ",$959 ,"$3,002,631 ","17,688",17688,"$14,343,564 ","$172,122,768 ","5,437",5437,"$5,214,083 ","$62,568,996 ","6,612",6612,"$60,411,884 ","$76,090,592 ",$959 ,"$5,645,369 ",3794,12251
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach-Norfolk-Newport News,VA-NC,"52,040",52040,"$35,569,344 ","$426,832,128 ","19,789",19789,"$15,890,567 ","$190,686,804 ","19,451",19451,"$148,246,368 ","$187,431,936 ",$803 ,"$16,607,643 ","87,483",87483,"$52,583,840 ","$631,006,080 ","19,789",19789,"$15,890,567 ","$190,686,804 ","32,261",32261,"$217,676,384 ","$310,870,912 ",$803 ,"$27,545,112 ",32251,67694
"Visalia-Porterville, CA",Visalia-Porterville,CA,"18,069",18069,"$9,611,608 ","$115,339,296 ","2,971",2971,"$1,366,660 ","$16,399,920 ","6,150",6150,"$36,933,512 ","$33,948,100 ",$460 ,"$5,250,947 ","25,206",25206,"$12,077,022 ","$144,924,264 ","2,971",2971,"$1,366,660 ","$16,399,920 ","8,980",8980,"$47,567,984 ","$49,572,028 ",$460 ,"$7,667,589 ",15098,22235
"Waco, TX",Waco,TX,"10,089",10089,"$6,134,471 ","$73,613,652 ","2,329",2329,"$1,239,028 ","$14,868,336 ","3,514",3514,"$22,975,432 ","$22,436,268 ",$532 ,"$3,000,675 ","13,562",13562,"$7,390,923 ","$88,691,076 ","2,329",2329,"$1,239,028 ","$14,868,336 ","4,864",4864,"$28,538,002 ","$31,052,456 ",$532 ,"$4,153,023 ",7760,11233
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington-Arlington-Alexandria,DC-VA-MD-WV,"172,650",172650,"$159,831,344 ","$1,917,976,128 ","47,204",47204,"$58,155,328 ","$697,863,936 ","65,989",65989,"$659,844,800 ","$975,578,496 ","$1,232 ","$56,341,900 ","293,425",293425,"$237,800,944 ","$2,853,611,328 ","47,204",47204,"$58,155,328 ","$697,863,936 ","107,875",107875,"$975,664,704 ","$1,594,819,584 ","$1,232 ","$92,104,504 ",125446,246221
"Wausau, WI",Wausau,WI,"2,761",2761,"$1,042,454 ","$12,509,448 ",690,690,"$232,530 ","$2,790,360 ","1,170",1170,"$5,065,594 ","$4,732,172 ",$337 ,"$999,104 ","5,676",5676,"$2,141,773 ","$25,701,276 ",690,690,"$232,530 ","$2,790,360 ","2,346",2346,"$10,089,068 ","$9,486,527 ",$337 ,"$2,002,891 ",2071,4986
"Wenatchee, WA",Wenatchee,WA,"2,325",2325,"$1,086,032 ","$13,032,384 ",653,653,"$421,838 ","$5,062,056 ",917,917,"$4,631,405 ","$7,105,185 ",$646 ,"$782,569 ","4,076",4076,"$1,967,392 ","$23,608,704 ",653,653,"$421,838 ","$5,062,056 ","1,624",1624,"$9,119,118 ","$12,589,659 ",$646 ,"$1,386,633 ",1672,3423
"Wichita Falls, TX",Wichita Falls,TX,"4,839",4839,"$2,271,729 ","$27,260,748 ",995,995,"$362,180 ","$4,346,160 ","1,813",1813,"$9,446,100 ","$7,918,322 ",$364 ,"$1,547,789 ","7,191",7191,"$2,926,371 ","$35,116,452 ",995,995,"$362,180 ","$4,346,160 ","2,757",2757,"$12,530,236 ","$12,041,183 ",$364 ,"$2,353,682 ",17491,31154
"Wichita, KS",Wichita,KS,"20,705",20705,"$10,098,223 ","$121,178,676 ","3,214",3214,"$1,668,066 ","$20,016,792 ","7,708",7708,"$41,436,360 ","$48,006,780 ",$519 ,"$6,581,354 ","34,368",34368,"$14,760,323 ","$177,123,876 ","3,214",3214,"$1,668,066 ","$20,016,792 ","12,841",12841,"$62,517,068 ","$79,972,736 ",$519 ,"$10,963,636 ",3844,6196
"Wilmington, NC",Wilmington,NC,"11,120",11120,"$7,440,583 ","$89,286,996 ","2,312",2312,"$1,549,040 ","$18,588,480 ","4,287",4287,"$29,752,076 ","$34,465,132 ",$670 ,"$3,660,034 ","18,800",18800,"$11,042,660 ","$132,511,920 ","2,312",2312,"$1,549,040 ","$18,588,480 ","7,182",7182,"$45,395,272 ","$57,741,308 ",$670 ,"$6,131,854 ",8808,16488
"Winston-Salem, NC",Winston-Salem,NC,"21,613",21613,"$9,845,610 ","$118,147,320 ","6,156",6156,"$3,281,148 ","$39,373,776 ","7,830",7830,"$39,490,248 ","$50,082,328 ",$533 ,"$6,685,553 ","33,499",33499,"$13,867,474 ","$166,409,688 ","6,156",6156,"$3,281,148 ","$39,373,776 ","12,660",12660,"$58,422,820 ","$80,975,584 ",$533 ,"$10,809,531 ",15457,27343
"Worcester, MA-CT",Worcester,MA-CT,"37,790",37790,"$20,806,400 ","$249,676,800 ","8,967",8967,"$6,832,854 ","$81,994,248 ","15,161",15161,"$90,096,784 ","$138,630,272 ",$762 ,"$12,944,434 ","60,913",60913,"$31,015,106 ","$372,181,272 ","8,967",8967,"$6,832,854 ","$81,994,248 ","23,938",23938,"$133,293,312 ","$218,892,016 ",$762 ,"$20,438,778 ",28823,51946
"Yakima, WA",Yakima,WA,"7,557",7557,"$3,516,715 ","$42,200,580 ",914,914,"$524,636 ","$6,295,632 ","2,681",2681,"$14,015,794 ","$18,464,888 ",$574 ,"$2,288,836 ","11,823",11823,"$4,939,353 ","$59,272,236 ",914,914,"$524,636 ","$6,295,632 ","4,246",4246,"$20,075,292 ","$29,249,712 ",$574 ,"$3,625,682 ",6643,10909
"York-Hanover, PA",York-Hanover,PA,"9,638",9638,"$5,479,829 ","$65,757,948 ","1,630",1630,"$948,660 ","$11,383,920 ","3,818",3818,"$23,906,826 ","$26,666,438 ",$582 ,"$3,260,033 ","17,597",17597,"$8,335,905 ","$100,030,860 ","1,630",1630,"$948,660 ","$11,383,920 ","6,819",6819,"$36,287,956 ","$47,623,180 ",$582 ,"$5,822,043 ",8008,15967
"Youngstown-Warren-Boardman, OH-PA",Youngstown-Warren-Boardman,OH-PA,"20,200",20200,"$7,622,307 ","$91,467,684 ","3,749",3749,"$1,702,046 ","$20,424,552 ","7,510",7510,"$30,891,082 ","$40,917,080 ",$454 ,"$6,412,521 ","31,117",31117,"$10,600,301 ","$127,203,612 ","3,749",3749,"$1,702,046 ","$20,424,552 ","12,113",12113,"$44,483,612 ","$65,989,584 ",$454 ,"$10,341,881 ",16451,27368
"Yuba City, CA",Yuba City,CA,"5,486",5486,"$2,949,685 ","$35,396,220 ","1,223",1223,"$754,591 ","$9,055,092 ","2,109",2109,"$11,984,770 ","$15,616,764 ",$617 ,"$1,800,885 ","8,665",8665,"$4,215,670 ","$50,588,040 ","1,223",1223,"$754,591 ","$9,055,092 ","3,355",3355,"$17,631,120 ","$24,839,148 ",$617 ,"$2,864,386 ",4263,7442
"Yuma, AZ",Yuma,AZ,"6,087",6087,"$2,687,554 ","$32,250,648 ","1,840",1840,"$999,120 ","$11,989,440 ","2,254",2254,"$10,874,220 ","$14,685,325 ",$543 ,"$1,924,260 ","7,260",7260,"$3,047,096 ","$36,565,152 ","1,840",1840,"$999,120 ","$11,989,440 ","2,849",2849,"$12,683,139 ","$18,562,170 ",$543 ,"$2,432,254 ",4247,5420
